"Title"	"Title_Link"	"Duration"	"View"	"Sub"	"Likes"	"Dislikes"	"Date"	"Description"
"1"	"LES TWINS World of Dance San Diego 2010 WOD | YAK FILMS"	"/watch?v=_XLGYxeL1iQ"	489	28578778	538873	153191	2662	14850	"Filmed & edited by Yoram Savion, Kash Gaines, Ben Tarquin & Javier Ochoa.http://www.YAKFILMS.comÂ© YAK FILMS 2010"
"2"	"Jabbawockeez - World of Dance Bay Area 2014"	"/watch?v=kTvzU1sGSyA"	675	6019410	661825	36515	791	16300	"Now Playing - Jabbawockeez presents \"PRiSM\" at Luxor Hotel & Casino in Las Vegas, NV. For ticket information call 702.262.4400 or visit: http://www.jbwkz.comhttp://www.facebook.com/Jabbawockeezhttp://www.twitter.com/Jabbawockeez @Jabbawockeezhttp://www.instagram.com/Jabbawockeez @JabbawockeezVideo Production: Josh & Jordan Jose"
"3"	"Jabbawockeez [HD] | World of Dance 2010 (Pomona, CA)"	"/watch?v=iuonbvrbGtg"	768	5974509	115678	23729	381	14710	"Jabbawockeez performance to close the show for World of Dance Pomona 2010."
"4"	"Fik-Shun | FRONTROW | World of Dance Las Vegas 2014  #WODVEGAS"	"/watch?v=mg6-SnUl0A0"	245	5674361	489821	49777	589	16428	"World of Dance Las Vegas 2014 #WODLVDance Videos FIRST at the new http://WORLDOFDANCE.COM #worldofdance Like it! Share it!#WODLifestyle â Make sure to pick up the latest World of Dance Merchandise and Apparel now at http://www.worldofdance.com/storeSupport the movement. Subscribe here. https://www.youtube.com/worldofdanceFollow us on Twitter, Instagram and like us on Facebook:https://twitter.com/worldofdancehttps://instagram.com/worldofdancehttps://www.facebook.com/worldofdanceâ¦For more dance news, tour info, and videos like this, go to: http://www.worldofdance.com"
"5"	"Les Twins | World of Dance | FRONTROW | #WODSD 2013"	"/watch?v=w-0t9K-g45Y"	336	5550050	489821	43291	527	16027	"World of Dance Frontrow Feature : Les Twins at #WODSD 2013 - #WODFRONTROWCheck out the Fullstage view! http://youtu.be/X7TXBoNaqCU#WODLifestyle - Make sure to pick up the latest World of Dance Merchandise and Apparel now at http://www.worldofdance.com/storeSupport the movement. Subscribe here.https://www.youtube.com/worldofdanceFollow us on Twitter, Instagram and like us on Facebook:https://twitter.com/worldofdancehttps://instagram.com/worldofdancehttps://www.facebook.com/worldofdance...For more dance news, tour info, and videos like this, go to:http://www.worldofdance.com/"
"6"	"Les Twins | FRONTROW | World of Dance 2014 #WODHI"	"/watch?v=3GNG12g2bKw"	548	4934259	489821	38833	628	16423	"World of Dance Hawaii 2014 #WODHIDance Videos FIRST at the new http://WORLDOFDANCE.COM #worldofdance Like it! Share it!#WODLifestyle â Make sure to pick up the latest World of Dance Merchandise and Apparel now at http://www.worldofdance.com/storeSupport the movement. Subscribe here. https://www.youtube.com/worldofdanceFollow us on Twitter, Instagram and like us on Facebook:https://twitter.com/worldofdancehttps://instagram.com/worldofdance https://www.facebook.com/worldofdanceâ¦For more dance news, tour info, and videos like this, go to: http://www.worldofdance.com"
"7"	"Les Twins - World Of Dance 2013 (Official)"	"/watch?v=NPhZ8hC3F04"	449	4493522	38877	21034	411	15440	"VIDEO BY (Matthe Hissong): https://www.youtube.com/MatthewHisson...WATCH THEIR 2013 PERFORMANCE HERE: https://www.youtube.com/watch?v=wYg4b...00:40 Michael Jackson -- Liberian Girl01:51 Chalice Serrano ft. Legend da Beatslaya -- SWAG02:59 Lil Wayne ft. Bun B, Nas, Shyne & Busta Rhymes -- Outro03:18 Victorious -- Sasuri Goza Makura03:57 DJ NastyNas -- Hypnotize05:04 Saybeats -- I've Been Shot06:10 BeyoncÃ© -- I Was Here"
"8"	"Quest Crew | FRONTROW | World of Dance #WODLA '14"	"/watch?v=mw7At5nsDH4"	374	3194522	489821	35803	269	16173	"Quest Crew | FRONTROW | World of Dance #WODLA '14#WODFRONTROW@TheQuestCrewCheck out the full stage view! http://www.worldofdance.com/channels/...#WODLifestyle - Make sure to pick up the latest World of Dance Merchandise and Apparel now at http://www.worldofdance.com/storeSupport the movement. Subscribe here.https://www.youtube.com/worldofdanceFollow us on Twitter, Instagram and like us on Facebook:https://twitter.com/worldofdancehttps://instagram.com/worldofdancehttps://www.facebook.com/worldofdance...For more dance news, tour info, and videos like this, go to:http://www.worldofdance.com/"
"9"	"Jabbawockeez | FRONTROW | World of Dance #WODBay '14"	"/watch?v=Qrqo_WoOUS8"	694	2980300	489821	23244	336	16300	"Jabbawockeez | FRONTROW | World of Dance Bay Area 2014 #WODBAYDance Videos FIRST at the newhttp://WORLDOFDANCE.COM#worldofdance Like it! Share it!#WODLifestyle -- Make sure to pick up the latest World of Dance Merchandise and Apparel now at http://www.worldofdance.com/storeSupport the movement. Subscribe here.https://www.youtube.com/worldofdanceFollow us on Twitter, Instagram and like us on Facebook:https://twitter.com/worldofdancehttps://instagram.com/worldofdancehttps://www.facebook.com/worldofdance...For more dance news, tour info, and videos like this, go to:http://www.worldofdance.com/"
"10"	"Chachi Gonzales, Les Twins & Smart Mark | \"High Pressure\" by SoFly \" | WorldofDance.com Exclusive"	"/watch?v=oiTbd0KG7Dc"	263	2534277	489821	28025	241	15454	"World of Dance presents Chachi Gonzales of IaMmE, Les Twins, and Smart Mark of Academy of Phresh in this exclusive collaboration right after World of Dance Los Angeles 2012. Stay tuned for more from your favorite freestyle dancers and dance crews.Music: \"High Pressure\" by SoFlySupport the movement. Subscribe here.http://www.youtube.com/user/WORLDOFDA...For more videos like this go to:http://www.worldofdance.com/Directed and edited by Jonathan ShihFilmed by Jonathan Shih, Rod Jonas, Rachel Moorer, and Keith Tripler#WODLife - Make sure to pick up the latest World of Dance Merchandise and Apparel now at http://www.worldofdance.com/store"
